"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","33.638699","0","412"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","5.062027","0","19"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","5.358378","0","19"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","3.350084","0","13"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","173.372391","0","10458"
"/Game/Assets/Materials/Towers/Grid_Material.Grid_Material","0","20","1","1","24.555439","0","229"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/beige_brique_niv_max.beige_brique_niv_max","0","14","1","1","15.509547","0","118"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/gris_bas_niv_max.gris_bas_niv_max","0","14","1","1","16.512728","0","118"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/gris_brique_niv_max.gris_brique_niv_max","0","14","1","1","15.087507","0","118"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/gris_tour_niv_max.gris_tour_niv_max","0","14","1","1","15.968761","0","118"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/marron_porte_niv_max.marron_porte_niv_max","0","14","1","1","15.410522","0","118"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/pasted__lambert33.pasted__lambert33","0","14","1","1","15.612723","0","118"
"/Game/3D_Models/Tower_Archer/Archer_Normal/gris_bas.gris_bas","0","14","1","1","16.671982","0","118"
"/Game/3D_Models/Tower_Archer/Archer_Normal/gris_tour.gris_tour","0","14","1","1","15.065497","0","118"
"/Game/3D_Models/Tower_Archer/Archer_Normal/gris_brique.gris_brique","0","14","1","1","15.302774","0","118"
"/Game/3D_Models/Tower_Archer/Archer_Normal/beige_brique.beige_brique","0","14","1","1","15.659912","0","118"
"/Game/3D_Models/Tower_Archer/Archer_MaxLevel/noir_total_niv_max.noir_total_niv_max","0","14","1","1","15.807686","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_MaxLevel/bois_chaudron_niv_max.bois_chaudron_niv_max","0","14","1","1","15.701800","0","110"
"/Game/3D_Models/Tower_Cauldron/Cauldron_MaxLevel/noir_chaudron_niv_max.noir_chaudron_niv_max","0","14","1","1","15.068974","0","118"
"/Game/3D_Models/Tower_Archer/Archer_Normal/marron_porte.marron_porte","0","14","1","1","14.590971","0","118"
"/Game/3D_Models/Tower_Archer/Archer_Normal/noir_total.noir_total","0","14","1","1","15.844765","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_MaxLevel/bois_baliste_niv_max.bois_baliste_niv_max","0","14","1","1","15.767672","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_MaxLevel/boisfonce_baliste_niv_max.boisfonce_baliste_niv_max","0","14","1","1","15.368109","0","115"
"/Game/3D_Models/Tower_Ballista/Ballista_MaxLevel/corde_baliste_niv_max.corde_baliste_niv_max","0","14","1","1","16.090427","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_MaxLevel/Default_Material.Default_Material","0","14","1","1","15.719920","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_MaxLevel/gris_baliste_niv_max.gris_baliste_niv_max","0","14","1","1","15.019669","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_Normal/bois_baliste.bois_baliste","0","14","1","1","14.896850","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_Normal/boisfonce_baliste.boisfonce_baliste","0","14","1","1","15.146605","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_Normal/corde_baliste.corde_baliste","0","14","1","1","15.541552","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_Normal/Default_Material.Default_Material","0","14","1","1","0.000000","0","118"
"/Game/3D_Models/Tower_Ballista/Ballista_Normal/gris_baliste.gris_baliste","0","14","1","1","14.756495","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_MaxLevel/corde_chaudron_niv_max.corde_chaudron_niv_max","0","14","1","1","15.662261","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_MaxLevel/huile_chaudron_niv_max.huile_chaudron_niv_max","0","14","1","1","15.513709","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_Normal/corde_chaudron.corde_chaudron","0","14","1","1","15.982733","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_Normal/bois_chaudron.bois_chaudron","0","14","1","1","15.811281","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_Normal/huile_chaudron.huile_chaudron","0","14","1","1","15.540629","0","118"
"/Game/3D_Models/Tower_Cauldron/Cauldron_Normal/noir_chaudron.noir_chaudron","0","14","1","1","15.976568","0","118"
"/Game/3D_Models/Tower_Trebuchet/Trebuchet_MaxLevel/corde_trebuch_niv_max.corde_trebuch_niv_max","0","14","1","1","15.473337","0","118"
"/Game/3D_Models/Tower_Trebuchet/Trebuchet_MaxLevel/gris_trebuch_niv_max.gris_trebuch_niv_max","0","14","1","1","15.282280","0","118"
"/Game/3D_Models/Tower_Trebuchet/Trebuchet_MaxLevel/bois_trebuch_niv_max.bois_trebuch_niv_max","0","14","1","1","15.897331","0","118"
